    molid1      molid2     ss1     ss2   sim12   Sscore
      1557    599116  34.279 113.097  25.038  0.2047
      1557    604127  34.279 113.097  25.323  0.2075
      1557    604316  34.279 113.097  24.939  0.2037
      1557    137781  34.279 128.317  19.916  0.1396
      1557    138989  34.279 128.317  19.916  0.1396
      1557   1779058  34.279 114.658  25.936  0.2109
      1557   1940402  34.279  91.317  27.571  0.2813
      1557   1940403  34.279  91.317  27.156  0.2759
      1557   1940404  34.279  91.317  28.297  0.2908
      1557   1949727  34.279 107.437  21.749  0.1813
      1557    201287  34.279  96.327  27.404  0.2655
      1557    201432  34.279 108.297  21.323  0.1759
      1557    201577  34.279  93.747  26.883  0.2658
      1557   2036989  34.279 123.767  23.143  0.1716
      1557   2037430  34.279  94.418  23.116  0.2189
      1557   2420782  34.279  98.137  23.619  0.2171
      1557   2420890  34.279  96.927  25.825  0.2451
      1557   2420894  34.279 101.457  25.612  0.2326
      1557   2432042  34.279 117.327  29.326  0.2398
      1557   2432051  34.279 115.617  29.277  0.2427
      1557    245764  34.279 102.158  23.421  0.2072
      1557   3115577  34.279 101.987  25.259  0.2275
      1557   3286429  34.279  94.418  23.428  0.2226
      1557    343755  34.279 128.317  19.916  0.1396
      1557    381325  34.279  89.308  26.979  0.2793
      1557    467094  34.279 109.738  24.830  0.2083
      1557    536044  34.279 109.797  27.292  0.2337
      1557    558766  34.279 109.837  27.325  0.2340
      1557    604732  34.279 116.817  25.334  0.2014
      1557   1258671  34.279  97.427  25.148  0.2360
      1557   2204343  34.279  95.847  26.553  0.2564
      1557    240774  34.279  98.157  23.250  0.2129
      1557   2420781  34.279 101.087  25.938  0.2370
      1557   3115579  34.279  98.337  29.066  0.2807
      1557   3289645  34.279  94.007  26.987  0.2664
      1557   3289655  34.279  98.267  23.886  0.2198
      1557    395933  34.279  98.417  23.278  0.2127
      1557        54  34.279  95.847  27.971  0.2738
      1557    555146  34.279 105.127  26.518  0.2349
      1557    596622  34.279 108.337  26.755  0.2309
      1557    598730  34.279 121.597  24.974  0.1908
      1557    599134  34.279 120.327  25.199  0.1947
      1557   1258223  34.279 101.387  25.135  0.2274
      1557    238717  34.279 102.127  23.158  0.2045
      1557    239917  34.279 102.347  23.333  0.2059
      1557    240995  34.279 102.087  23.346  0.2066
      1557   3289649  34.279 100.377  23.264  0.2089
      1557   3321788  34.279 104.757  26.773  0.2385
      1557   3321789  34.279 104.757  27.441  0.2459
      1557   3590084  34.279  97.467  26.314  0.2496
      1557   3622097  34.279 105.187  24.296  0.2110
      1557    426317  34.279  98.687  25.752  0.2402
      1557    597900  34.279 129.027  24.404  0.1757
      1557    597909  34.279 124.607  23.372  0.1725
      1557    604525  34.279 123.667  25.219  0.1900
      1557       716  34.279 105.817  21.215  0.1785
      1557    184073  34.279 104.757  27.379  0.2452
      1557   2031737  34.279 112.727  26.217  0.2170
      1557    238718  34.279 106.057  23.237  0.1984
      1557   3115578  34.279 110.477  25.417  0.2130
      1557   3115581  34.279 112.067  26.733  0.2235
      1557    393492  34.279 106.337  25.763  0.2243
      1557    394080  34.279 106.597  25.848  0.2247
      1557    394110  34.279 108.277  23.222  0.1946
      1557    418854  34.279 106.657  26.153  0.2278
      1557    598949  34.279 133.747  23.590  0.1633
      1557    600986  34.279 128.417  23.406  0.1680
      1557    600987  34.279 127.007  24.299  0.1774
      1557    603485  34.279 127.007  23.772  0.1729
      1557    605127  34.279 133.087  24.293  0.1698
      1557    238915  34.279 112.207  23.253  0.1887
      1557    239700  34.279 110.307  25.645  0.2156
      1557   3589577  34.279 106.027  23.784  0.2041
      1557   3590080  34.279 103.397  26.111  0.2340
      1557   3590081  34.279 103.397  23.481  0.2056
      1557    379450  34.279 123.097  25.098  0.1897
      1557    482496  34.279 104.857  31.313  0.2904
      1557    515472  34.279 112.937  30.721  0.2637
      1557    516088  34.279 107.277  30.827  0.2784
      1557    596824  34.279 121.117  26.692  0.2074
      1557      1112  34.279 113.117  24.950  0.2038
      1557    201788  34.279 117.847  29.576  0.2413
      1557    238917  34.279 116.457  25.484  0.2035
      1557    240996  34.279 114.587  24.419  0.1962
      1557    268371  34.279 114.847  24.442  0.1960
      1557    328866  34.279 119.817  27.231  0.2146
