    molid1      molid2     ss1     ss2   sim12   Sscore
   1089752   3409389 110.667  90.078  70.419  0.5403
   1089752   3417042 110.667  79.968  50.055  0.3561
   1089752   3417043 110.667  80.188  50.169  0.3566
   1089752   3417044 110.667  75.648  49.175  0.3586
   1089752   3417045 110.667  75.818  49.215  0.3585
   1089752   3417046 110.667  75.648  49.182  0.3586
   1089752   3417047 110.667  79.968  50.072  0.3562
   1089752   3417048 110.667  80.188  50.200  0.3569
   1089752   3417049 110.667  79.968  47.044  0.3276
   1089752   3417050 110.667  75.818  46.188  0.3292
   1089752   3417051 110.667  79.968  47.057  0.3277
   1089752   3417052 110.667  79.288  51.903  0.3760
   1089752   3417053 110.667 101.207  64.588  0.4385
   1089752   3417054 110.667  79.288  48.890  0.3466
   1089752   3417055 110.667  88.228  51.928  0.3533
   1089752   3417056 110.667  91.268  54.707  0.3716
   1089752   3417057 110.667  74.568  52.033  0.3906
   1089752   3417058 110.667  82.748  53.982  0.3872
   1089752   3417059 110.667  78.478  53.033  0.3896
   1089752   3417060 110.667  78.618  53.074  0.3896
   1089752   3417061 110.667  82.748  53.994  0.3873
   1089752   3417062 110.667  74.568  48.951  0.3592
   1089752   3417063 110.667  82.748  50.908  0.3572
   1089752   3417064 110.667  78.478  49.960  0.3589
   1089752   3417065 110.667  82.748  50.920  0.3573
   1089752   3417066 110.667  86.218  56.709  0.4046
   1089752   3417067 110.667  78.038  54.712  0.4083
   1089752   3417068 110.667  86.218  53.630  0.3744
   1089752   3417069 110.667  91.007  55.892  0.3834
   1089752   3417070 110.667  86.738  54.912  0.3854
   1089752   3417071 110.667  96.957  61.361  0.4195
   1089752   3417072 110.667  67.728  46.217  0.3497
   1089752   3417073 110.667  78.448  51.807  0.3773
   1089752   3417074 110.667  94.047  58.477  0.3999
   1089752   3417075 110.667  85.788  54.811  0.3870
   1089752   3417076 110.667  82.988  51.117  0.3586
   1089752   3417077 110.667  71.718  42.050  0.2996
   1089752   3417078 110.667  98.098  53.879  0.3479
   1089752   3417079 110.667  88.618  53.218  0.3643
   1089752   3417080 110.667  92.277  55.890  0.3801
   1089752   3417081 110.667 106.927  60.235  0.3828
   1089752   3417082 110.667  93.098  54.922  0.3690
   1089752   3417083 110.667  95.837  58.087  0.3914
   1089752   3417084 110.667  98.077  49.829  0.3136
   1089752   3417085 110.667 103.967  59.377  0.3824
   1089752    365754 110.667 110.667 109.912  0.9864
   1089752     38634 110.667  86.368  63.613  0.4768
   1089752     39900 110.667  86.368  63.233  0.4726
   1089752     53325 110.667 103.267  72.248  0.5099
   1089752        54 110.667  95.847  68.104  0.4920
   1089752    564522 110.667  80.498  66.579  0.5344
   1089752    570067 110.667  96.308  68.450  0.4941
   1089752    570529 110.667  93.398  66.809  0.4868
   1089752    570789 110.667  86.368  66.130  0.5052
   1089752    570795 110.667  88.698  63.620  0.4687
   1089752    571418 110.667  86.368  61.762  0.4566
   1089752    571659 110.667  91.168  66.240  0.4885
   1089752    572294 110.667  86.368  61.988  0.4590
   1089752    578825 110.667  93.398  66.256  0.4808
   1089752     60542 110.667  95.058  61.376  0.4252
   1089752     73824 110.667  58.848  41.516  0.3243
   2169891   2170045  82.988  96.408  69.590  0.6338
   2169891   2170046  82.988 107.067  65.233  0.5226
   2169891   2170047  82.988 100.057  70.765  0.6303
   2169891   2170048  82.988 101.777  72.306  0.6430
   2169891   2170049  82.988 119.177  71.491  0.5471
   2169891   2170050  82.988 112.997  66.090  0.5088
   2169891   2170051  82.988  84.618  75.925  0.8282
   2169891   2170052  82.988  84.518  69.007  0.7006
   2169891   2170053  82.988  79.968  71.704  0.7858
   2169891   2170054  82.988  79.968  66.670  0.6924
   2169891   2170055  82.988  89.428  79.048  0.8466
   2169891   2170056  82.988  98.007  79.504  0.7834
   2169891   2170057  82.988  76.288  70.434  0.7928
   2169891   2170058  82.988  83.788  72.595  0.7708
   2169891   2170059  82.988  80.428  74.701  0.8420
   2169891   2170060  82.988  75.648  72.898  0.8503
   2169891   2170061  82.988  84.878  77.695  0.8616
   2169891   2170062  82.988  95.768  70.825  0.6562
   2169891   2170063  82.988  91.048  70.650  0.6834
   2169891   2170064  82.988 100.627  70.789  0.6274
   2169891   2170065  82.988  62.068  52.609  0.5691
   2169891   2170066  82.988  71.718  64.893  0.7225
   2169891   2170067  82.988  95.768  65.868  0.5835
   2169891   2170068  82.988  92.088  65.421  0.5966
   2169891   2170069  82.988  88.898  60.418  0.5420
   2169891   2170070  82.988 113.367  70.275  0.5574
   2169891   2170071  82.988  94.467  74.745  0.7277
   2169891   2170072  82.988  83.828  69.749  0.7186
   2169891   2170073  82.988 110.467  72.561  0.6002
   2169891   2170074  82.988  86.998  71.423  0.7246
   2169891   2170075  82.988  86.008  80.968  0.9198
   2169891   2170076  82.988  86.008  78.129  0.8598
   2169891   2170203  82.988 103.407  79.907  0.7504
   2169891   2170204  82.988  79.208  69.144  0.7431
   2169891   2170205  82.988  96.337  68.986  0.6252
   2169891   2170206  82.988  82.108  70.807  0.7510
   2169891   2170207  82.988  89.027  73.957  0.7542
   2169891   2170208  82.988 101.127  77.297  0.7236
   2169891   2170209  82.988  87.438  82.438  0.9369
   2169891   2170210  82.988  91.338  76.825  0.7879
   2169891   2170211  82.988  83.438  74.158  0.8037
   2169891   2170212  82.988  83.848  73.878  0.7948
   2169891   2170213  82.988  91.268  74.442  0.7458
   2169891   2170214  82.988  93.037  79.908  0.8314
   2169891   2170215  82.988 108.127  77.951  0.6888
   2169891   2170216  82.988  87.628  82.599  0.9384
   2169891   2170217  82.988  83.978  76.725  0.8502
   2169891   2170218  82.988  91.488  76.675  0.7840
   2169891   2170219  82.988  82.988  77.750  0.8813
   2169891   2170220  82.988  86.848  76.633  0.8222
   2169891   2170221  82.988  90.628  80.620  0.8669
   2169891   2170222  82.988  86.998  74.858  0.7869
   2169891   2170223  82.988  90.628  75.506  0.7696
   2169891   2170224  82.988 115.937  73.973  0.5920
   2169891   2170225  82.988  84.618  79.071  0.8931
   2169891   2170226  82.988  80.938  72.585  0.7947
   2169891   2170227  82.988  84.618  74.121  0.7929
   2169891   2170228  82.988  88.098  73.905  0.7605
   2169891   2170229  82.988  88.498  74.140  0.7616
   2169891   2170230  82.988 125.937  71.649  0.5219
   2169891   2170231  82.988  88.498  73.411  0.7485
   2169891   2170232  82.988 102.737  73.318  0.6523
   2169891   2170233  82.988 110.007  72.136  0.5969
   2169891   2170234  82.988  77.748  66.939  0.7137
   2169891   2170235  82.988  87.628  69.378  0.6853
   2169891   2170236  82.988  80.938  68.353  0.7152
   2169891   2170237  82.988  79.968  77.446  0.9057
   2169891   2170238  82.988  76.308  71.013  0.8044
   2169891   2170239  82.988  79.968  72.807  0.8076
   2169891   2324614  82.988  85.208  49.810  0.4207
   2169891   2324615  82.988  82.318  55.058  0.4994
   2169891   2338336  82.988 113.357  50.442  0.3457
   2169891   2338337  82.988 117.157  50.258  0.3353
   2169891   2338338  82.988 110.447  44.967  0.3029
   2169891   2338339  82.988 117.977  48.250  0.3159
   2169891   2338340  82.988 105.118  50.457  0.3666
   2169891   2338341  82.988 117.977  53.048  0.3586
   2169891   2338342  82.988 117.647  50.244  0.3341
   2169891   2338343  82.988 121.777  50.948  0.3312
   2169891   2338344  82.988 121.777  52.949  0.3488
   2169891   2338345  82.988 129.687  55.490  0.3530
   2169891   2338759  82.988 151.246  56.337  0.3167
   2169891   2338760  82.988 117.977  45.674  0.2941
   2169891   2338761  82.988 117.977  45.674  0.2941
   2169891   2338762  82.988 121.777  50.154  0.3244
   2169891   2338763  82.988 121.777  50.154  0.3244
   2169891   2338764  82.988 121.777  50.948  0.3312
   2169891   2338765  82.988 134.057  51.778  0.3133
   2169891   2338766  82.988 134.057  51.778  0.3133
   2169891   2338767  82.988 134.397  51.689  0.3120
   2169891   2338768  82.988 138.267  54.655  0.3281
   2169891   2338769  82.988 129.857  49.114  0.3000
   2169891   2338770  82.988  99.318  44.124  0.3193
   2169891   2338771  82.988 114.677  45.811  0.3017
   2169891   2338772  82.988 117.977  50.342  0.3342
   2169891   2338773  82.988 136.657  52.481  0.3139
   2169891   2338774  82.988 127.057  43.765  0.2632
   2169891   2338775  82.988 127.057  46.337  0.2830
   2169891   2338776  82.988 128.057  46.120  0.2796
   2169891   2338777  82.988 137.627  49.067  0.2860
   2169891   2338778  82.988 129.187  52.020  0.3248
   2169891   2338779  82.988 113.357  45.776  0.3040
   2169891   2338780  82.988  54.938  48.199  0.5372
   2169891   2338781  82.988 133.847  51.820  0.3140
   2169891   2338782  82.988 133.847  51.820  0.3140
   2169891    282433  82.988  62.898  37.775  0.3494
   2169891   3104091  82.988  96.468  45.038  0.3351
   2169891   3104092  82.988  95.748  44.451  0.3310
   2169891   3104093  82.988  96.108  44.950  0.3351
   2169891   3104856  82.988 115.807  53.481  0.3680
   2169891   3104857  82.988 115.807  53.481  0.3680
   2169891   3233525  82.988  75.058  50.307  0.4669
   2169891   3233526  82.988  78.898  50.980  0.4597
   2169891   3233527  82.988  92.878  53.812  0.4409
   2169891   3233528  82.988  89.938  53.554  0.4486
   2169891   3233529  82.988  89.938  53.554  0.4486
   2169891   3233530  82.988 110.367  52.339  0.3712
   2169891   3233531  82.988 110.367  52.339  0.3712
   2169891   3233532  82.988 109.517  52.419  0.3742
   2169891   3233533  82.988 117.257  54.342  0.3725
   2169891   3233535  82.988  90.398  53.539  0.4467
   2169891   3233536  82.988 100.927  54.246  0.4183
   2169891   3233537  82.988  82.598  53.887  0.4824
   2169891   3360552  82.988 109.867  51.304  0.3624
   2169891   3360553  82.988 100.127  50.858  0.3845
   2169891   3360554  82.988 129.827  50.670  0.3125
   2169891   3360555  82.988 100.207  50.860  0.3843
   2169891   3360556  82.988  95.387  51.121  0.4017
   2169891   3360557  82.988 100.907  51.312  0.3870
   2169891   3360558  82.988 100.907  48.938  0.3626
   2169891   3360559  82.988 128.587  50.195  0.3110
   2169891   3360560  82.988 132.667  52.751  0.3238
   2169891   3360561  82.988 103.087  50.211  0.3696
   2169891   3360562  82.988 132.727  50.195  0.3033
